district	village	villno	strno	group	hhid	codigo	d07	birthdate	d11	d12	d13a	d14	d15	d16
1	1	101.0	1.0	3.0	10101	221	1	13032009	1	3	102		101	
1	1	101.0	1.0	3.0	10102	221	1	24052009	1	2	102		101	
1	1	101.0	1.0	3.0	10109	221	2		0		102		101	
1	1	101.0	1.0	3.0	10118	221	1	13122008	1	2	102		101	
1	2	102.0	1.0	2.0	10219	221	2	2052009	1	1	102		101	
1	3	103.0	1.0	2.0	10302	221	2	25102008	0		102		101	
1	3	103.0	1.0	2.0	10312	221	2		0		102		101	
1	4	104.0	1.0	3.0	10405	221	2	3032009	1	4	102		101	
1	4	104.0	1.0	3.0	10408	221	1	27052009	1	1	102		101	
1	4	104.0	1.0	3.0	10413	221	2	14072009	1	1	102		101	
1	4	104.0	1.0	3.0	10416	221	1	2007	0		104		199	102
1	5	105.0	1.0	3.0	10501	221	2	22042009	1	2	102		101	
1	5	105.0	1.0	3.0	10502	221	1	12072009	0		102		101	
1	5	105.0	1.0	3.0	10503	221	2	6052009	1	1	102		101	
1	5	105.0	1.0	3.0	10511	221	1	13012008	1	1	102		101	
1	5	105.0	1.0	3.0	10512	221	1		0		122		199	121
1	5	105.0	1.0	3.0	10513	221	2	20012009	1	2	102		101	
1	5	105.0	1.0	3.0	10515	221	2	24122008	1	2	102		101	
1	5	105.0	1.0	3.0	10516	221	2	21042009	1	3	102		101	
1	5	105.0	1.0	3.0	10518	221	2	6062006	1	1	102		101	
1	6	106.0	1.0	3.0	10602	221	1	23042009	1	1	102		101	
1	6	106.0	1.0	3.0	10611	221	2		0		102		101	
1	6	106.0	1.0	3.0	10611	222	1		0		102		101	
1	7	107.0	1.0	3.0	10702	221	2	18062009	1	1	102		111	
1	7	107.0	1.0	3.0	10715	221	1	13122008	1	2	102		101	
1	7	107.0	1.0	3.0	10716	221	2	2005	0		199	102	101	
1	8	108.0	1.0	2.0	10804	221	2		0		102		101	
1	8	108.0	1.0	2.0	10810	221	2	17102008	1	1	102		101	
1	8	108.0	1.0	2.0	10812	221	2	26122008	1	2	102		101	
1	8	108.0	1.0	2.0	10819	221	2	18102008	1	3	102		101	
1	9	109.0	1.0	1.0	10904	221	2		0		102		199	121
1	9	109.0	1.0	1.0	10909	221	1	1032009	1	2	102		101	
1	9	109.0	1.0	1.0	10916	221	2		0		103		199	
1	9	109.0	1.0	1.0	10917	221	2		0		102		101	
1	9	109.0	1.0	1.0	10919	221	1	2007	0		121		199	
1	10	110.0	1.0	1.0	11005	221	1	21042009	1	0	102		101	
1	10	110.0	1.0	1.0	11019	221	1	30042009	1	1	102		101	
1	11	111.0	1.0	1.0	11103	221	2		0		102		101	
1	11	111.0	1.0	1.0	11108	221	1		0		102		101	
1	11	111.0	1.0	1.0	11109	221	2	22042009	1	2	102		101	
1	11	111.0	1.0	1.0	11114	221	2	14022009	1	1	102		101	
1	11	111.0	1.0	1.0	11116	221	2		0		102		101	
1	11	111.0	1.0	1.0	11118	221	1		0		102		101	
1	11	111.0	1.0	1.0	11119	221	1	7042009	1	2	102		101	
1	12	112.0	1.0	2.0	11206	221	2		0		101		121	
1	12	112.0	1.0	2.0	11213	221	1		0		102		101	
1	12	112.0	1.0	2.0	11217	221	1	88882007	0		102		101	
1	13	113.0	1.0	3.0	11310	221	1	27102008	0		102		101	
1	14	114.0	1.0	2.0	11401	221	1	12022009	1	3	102		121	
1	14	114.0	1.0	2.0	11402	221	2	16122008	1	8	102		101	
1	14	114.0	1.0	2.0	11404	221	1	5072009	1	1	102		101	
1	14	114.0	1.0	2.0	11405	221	1	23072009	1	1	102		101	
1	14	114.0	1.0	2.0	11414	221	1	16062009	1	1	102		101	
1	14	114.0	1.0	2.0	11419	221	2		0		102		101	
1	14	114.0	1.0	2.0	11420	221	2	26052009	1	2	102		101	
1	15	115.0	1.0	1.0	11507	221	2		0		101		199	
1	15	115.0	1.0	1.0	11513	221	1	11112008	1	0	102		101	
1	16	116.0	1.0	1.0	11603	221	2	88882008	1	2	102		101	
